Title,Artist,Year,Popularity,Duration (s),Tempo (bpm)
Adoro,Olga Guillot,1993,nan,159.65995,90.513
A Outra Rota,Os Paralamas Do Sucesso,1991,0.304169503,159.92118,156.065
At The End Of The Day,Blaze Bayley,2008,0.564089228,218.69669,122.951
America,Simon & Garfunkel,1968,nan,212.94975,89.412
An Athletic In USSR,Dokaka,2009,nan,47.85587,155.042
A Place In My Heart,Nicholas Gunn,1994,0.629762225,220.26404,123.421
ALWAYS THE WAY,James Reyne,1987,0,444.44689,122.042
African Nights,Hello Goodbye,2001,0.376169925,164.38812,158.74
A Love So Fine,THE CHIFFONS,2004,0.428702263,110.52363,102.108
Ancestors,The Frank And Walters,2000,0.246865094,300.19873,110.017
Albumen,Tall Dwarfs,1996,nan,261.72036,152.001
A Dustland Fairytale,The Killers,2008,0.760343237,225.12281,134.734
All Night Long,Robin Thicke,2006,0.58870171,221.1522,103.932
All I See Is You,The Cooper Temple Clause,2007,0.64745421,403.43465,145.222
All Time Low (Album Version),Grey Area,1997,0.352232225,189.33506,127.221
Armageddon's Raid,Belphegor,2008,0.624839791,308.76689,116.897
A Shanty In Old Shanty Town,Coleman Hawkins,2002,nan,178.36363,197.024
Art Piece,Daniel Johnston,1987,nan,87.45751,86.29
A Guy Like You,Lisa Germano,1994,0.506905064,198.21669,110.813
Ask Her For Water,T-Model Ford,2002,0.546093719,275.35628,135.656
Aluminum Can (Album Version),The Ditty Bops,2006,0.253834736,206.34077,160.891
All The Things You Are (Album Version),John Scofield,1989,0.279705047,460.042,78.572
A Byte Of AMC (The Wrong Floppy Mix),Bleep,1989,0.299877488,260.67546,124.879
Annie At The Mirror,Alan Silvestri,1991,0.370960941,68.91057,170.984
Aquarius (Album Version),Within Temptation,2004,nan,288.67873,144.103
Angelina,Teresa De Sio,1995,nan,271.43791,120.317
All In My Head (P.N.E. Remix),Technoir,2007,0.266955186,284.55138,125.033
Anthem Of Our Discovery,Stephen Kellogg & The Sixers,2005,0.582918458,197.14567,89.994
Alley Boogie,Lucille Bogan,1994,nan,182.282,147.169
América Do Norte,Seu Jorge,2007,nan,333.94893,134.765
After Hours (Twelve Bars Past Midnight) (LP Version),Rickie Lee Jones,1979,0.487492443,133.72036,110.009
Album Intro,Jim Jones featuring Starr,2009,nan,314.30485,173.797
Always Too Much,Spektre,2010,0.310791536,422.76526,125.036
Animal Man,Telepopmusik,2001,0.667734711,267.07546,190.043
Adventures After Hours,Sportsday Megaphone,2008,0.324058699,98.42893,100.036
Are We In Trouble Now,Mark Knopfler,1996,0.668820307,360.38485,89.489
A Field (Noctambular Mix),Vector Lovers,2007,0.299877488,519.07873,122.02
A Hard Rain's A-Gonna Fall,Bob Dylan,1963,nan,415.18975,93.372
All Feets Can Dance (LP Version),Bobby McFerrin,1982,0.465453555,135.73179,120.721
Amo Non Amo,Goblin,1987,nan,193.14893,88.742
AC/DC,Xpress 2,2000,nan,572.49914,128.332
A Word From The Hon. Minister (skit),Sean Paul,2000,nan,19.90485,122.041
Alectra,SCSI-9,2002,0.39690522,480.78322,130.029
American Man,Velvet Revolver,2007,0.712723467,236.30322,138.151
Alienated,Earth Nation,1994,0.43483809,445.12608,135.846
Amor Indio,Yma Sumac,1992,0.270775999,140.32934,103.748
A Hat,Sarandon,2007,0,92.9171,166.11
a light is on and name the world,Thinking Plague,1984,nan,92.36853,87.731
Ark Of The Envious,The Verve Pipe,1992,0.239629098,216.65914,87.364
Always,Simon Patterson,2009,0.454042766,514.19383,172.538
Attack Music,These New Puritans,2010,0.866187879,288.10404,138.998
All Grown Up,Johnny Horton,1996,nan,115.25179,86.173
Azul Contente,Luciana Souza,1998,nan,259.23873,161.191
At Seventeen,Janis Ian,1975,nan,317.72689,115.739
Another Lifeform,Domased,2005,0.304169503,398.70649,180.046
Agent Orange (2006 Digital Remaster),Depeche Mode,1987,nan,309.002,167.736
And The North Star Cried,Kiuas,2005,0.602765238,418.82077,114.933
A Hazy Shade Of Winter,Simon & Garfunkel,1968,nan,137.27302,142.043
Anthem,Dru Hill,1996,0.400039657,61.83138,97.038
Alpha Desperation March,Atom And His Package,2001,0.444401715,154.46159,95.522
Almost Home,Patrice Rushen,1997,0.375984302,266.16118,89.139
Amphibia Part 1,Patrick Rondat,1996,nan,219.48036,210.466
Awakening Of The Forgotten,Sinai Beach,2003,0.367273416,114.62485,98.149
Arriba Dicembre,Plastilina Mosh,2008,nan,249.93914,86.708
As Andorinhas,Secos And Molhados,1973,nan,60.682,101.759
Ain't No Click,Lloyd Banks / Tony Yayo,2004,0.540786009,265.32526,116.622
A Public Affair,Jessica Simpson,2006,nan,224.23465,123.964
Arriba Allez,Bellini,2000,0,177.57995,136.956
All Of White Horizons,Agonised By Love,2005,0.349166902,235.07546,120.22
AOD,65daysofstatic,2003,0.638993038,375.37914,144.029
All Aboard,The Datsuns,2006,0.478276995,207.49016,100.988
Assumpta,Siniestro Total,1984,nan,107.96363,161.51
Alfie,Nancy Wilson,1999,0.551197611,184.0322,78.983
All I Want,Aromabar,2001,0.439525605,332.79955,124.985
All The Good Things Fade Away,Pat Green,2003,0.460541281,199.52281,133.715
Another Name,Philmont,2008,0.590824065,217.20771,141.997
Astronaut,David Mead,2005,0.340922756,203.10159,136.317
All For You,Earl Van Dyke & The Soul Brothers,2001,0.534313493,177.08363,120.851
Auf der Flucht,Falco,1982,nan,253.07383,125.03
Antidote,Blue Planet Corporation,1996,nan,478.69342,149.98
Angel In Blue (2005 Digital Remaster),J. Geils Band,2006,0.311345078,291.36934,106.911
Ain't Life A Drag,Fifteen,1996,0.427582886,235.65016,120.937
Au fond du temple saint,David Byrne,2004,0.619361604,289.802,69.613
Airs no. 11,Loren Connors,2007,0.417313803,124.60363,132.47
are you there?,marr,2004,0.480746958,222.24934,186.004
A Good Date,Charles Earland,2000,0,412.44689,89.268
A Part In That Show,Chris Joss,2004,0.508801328,247.64036,112.984
Any Porch,Bubba Sparxxx,2000,nan,80.3522,88.07
And All Shall Suffer (Album Version),All Out War,2007,0.459157901,210.1024,93.251
Allthegirls (Tomboy Rmx),Siriusmo,2008,nan,266.26567,125.013
Andar Pela Ilha,Natiruts,2002,0.546843274,251.34975,94.815
A Little At A Time,Benjy Ferree,2006,0.434124583,159.9473,86.378
Al Despertar,Ana Belén,1980,0,245.81179,146.286
Arnold Layne,David Gilmour Featuring David Bowie,2006,0.49271364,241.89342,136.031
Ana y Choni,Los Ronaldos,1987,nan,185.25995,160.555
After All (Love Theme From Chances Are),Cher / Peter Cetera,1989,0.700885622,244.4273,137.947
A la Escucha,Esplendor Geométrico,2009,0.331434758,397.26975,50.615
Alley Oop,Hollywood Argyles,1960,nan,166.32118,130.808
Ain't Gonna Worry No More,Peter Case,2007,0.409672457,373.05424,179.54
A Letter To You,Shakin' Stevens,1990,0.586472505,189.72689,136.53
Angel Of Germany,2raumwohnung,2009,0.579728749,208.61342,99.979
A Escondidas de Todos,Eddie Santiago,1991,nan,228.33587,174.974
All Hands Against His Own,The Black Keys,2004,0.766289919,196.91057,115.367
Aguas Passadas,Márcio Faraco,2000,0.372530039,287.92118,118.009
And What Do You See?,Barry Manilow,1980,nan,219.71546,86.226
Andalucia,Xavier Cugat,1997,nan,155.6371,87.162
Appreciation,Bigwig,2001,0.604558096,73.01179,215.543
Au-Delà Des Rêves (Tu Es Fou),Gerard Lenorman,2004,0,260.44036,81.916
April Fools,Rufus Wainwright,1998,0.615883998,300.61669,164.85
A Poem For Byzantium,Delerium,2001,0.586119115,353.12281,120.019
Airplanes,28 Days,2001,0.235063456,171.44118,116.809
Aim for the Head,Send More Paramedics,2004,nan,8.54159,0
Audience Of One,Sanctus Real,2003,0.505487343,225.2273,173.856
A Woman's Worth (Live),Alicia Keys,2005,0.585688708,210.59873,74.647
Arcadia,Gabriel,2004,0.786647197,592.77016,127.986
Amortem,Ruoska,2006,0.567184226,299.44118,130.04
After The Fight,Leroy Hutson,1974,0.445454525,197.43302,105.401
Aim To Please,Audio Karate,2004,0.413739836,187.81995,175.012
Addition,Spokane,2002,0.372530039,272.40444,146.677
Action,New Bomb Turks,2003,nan,142.10567,124.498
A Place For Annie,Miam Monster Miam,2000,nan,136.33261,100.059
All The Way (Remastered LP Version ),Ramones,1980,nan,148.53179,198.109
Afraid Of Letting Go,Beverley Craven,1999,nan,265.06404,117.828
Aftermath,Marco Beltrami,2007,nan,106.47465,115.873
Am I High (Feat. Malice),N.E.R.D. FEATURING MALICE,2001,0.638414459,288.9922,160.06
Ancora Qua,Mondo Marcio,2006,nan,285.83138,146.06
All About Eve,Steve Vai,1996,0.681557061,277.75955,132.386
A Picture Of Me (Without You),Lorrie Morgan,1991,nan,219.74159,76.197
All I Need Is A Miracle,Tina Ann,2003,nan,306.99057,136.967
All Time Low,Less Than Jake,2008,0.419674279,176.74404,186.268
All My Friends,LCD Soundsystem,2007,0.215080319,461.89669,142.548
Adoration,Spectrasoul,2008,0.270775999,407.43138,86.015
Alive - LP Version,Building 429,2006,0.360370583,274.93832,87.88
Always More (Yuksek Remix),autoKratz,2009,0.649293828,269.34812,125.877
Atomic Firelight,Pagan's Mind,2007,nan,318.64118,83.548
AmoK,Diary of Dreams,2002,nan,312.78975,125.014
Ain't No Love In The Heart Of The City (2003 Digital Remaster),Whitesnake,2003,0.270775999,307.93098,132.481
Am Ende das Meer,Fehlfarben,2007,0.270775999,295.07873,90.97
Appeared at First,Dysrhythmia,2006,nan,186.06975,155.18
Anatapurrah,Rapoon,1993,0.340922756,467.64363,154.941
Anywhere But Here,Cross Canadian Ragweed,2002,nan,282.64444,141.622
August in My Mind,Fresh & Onlys,2010,0.584956197,206.88934,123.284
Astro Zombies,The Misfits,1982,0.820324592,130.92526,110.616
Altered Genesis- Creation And Sudden Demise,Blood Red Throne,2005,0.493626672,341.36771,186.021
As Long As We've Got Us,Sandy Posey,1966,nan,150.41261,164.638
Any Love,Kirk Whalum,2004,0.478726288,304.43057,90.921
Alkime,Soulive,2002,0.5148589,419.65669,112.574
Are You Alone,The Starting Line,2007,0.777417146,201.1424,144.02
Almighty (The Way),Misty In Roots,2002,0.460541281,255.73832,165.723
Attackin' (Album Version),Giles,2005,0.405115722,91.92444,146.628
Ah Que La Vie Est Belle,Brigitte Fontaine,1997,0.449940204,355.57832,103.987
Another Rainy Day,Corinne Bailey Rae,2006,0.724415086,192.86159,36.928
After Hours,Broker/Dealer,2004,nan,423.99302,129.036
Alice Childress,Ben Folds Five,1995,nan,274.72934,98.386
A Dream,The Mystic Moods Orchestra,2004,nan,275.33016,109.662
Artificial,Martha Tilston,2007,0.469712431,275.30404,97.754
Atsunai,Roger Subirana,2008,0.43483809,250.48771,110.638
Angel Eyes,Shirley Bassey,1961,nan,184.60689,72.408
All Along (Album Version),Shifty,2004,0.518759898,210.9122,95.089
Arch Of The Aorta,Fad Gadget,1980,0.637744487,380.57751,102.013
Alan Lomax Introduces David Edwards,"David ""Honeyboy"" Edwards",1992,0,27.27138,51.774
Another Golden Oldie Night For Wendy (LP Version),England Dan & John Ford Coley,1978,0.265861049,224.28689,153.147
A Lonely Chord,Tsunami Bomb,2004,0.527818137,238.54975,87.008
Amen (Album Version),The Aliens,2008,0.457447167,77.92281,129.309
Atlantis (Part 3. - Lost Island),Derek Sherinian,1999,0.334706549,338.80771,107.9
A Million Lights (Tree63 Album Version),Tree63,2001,0.256956159,248.18893,100.196
A Miner's Life,Billy Bragg,2006,0.442563063,181.65506,70.866
All At Once,Jack Johnson,2008,nan,224.522,112.483
And I'm Telling You I'm Not Going,Jennifer Holliday,1994,nan,244.68853,117.514
Are You Putting Me On The Shelf,Don & Juan,1995,0,135.26159,139.897
All Those Christmas Cliches,Nancy LaMott,1994,nan,259.00363,94.801
Angry Athos,Nick Glennie-Smith,1998,nan,115.82649,121.974
Afterglow (Of Your Love),Small Faces,1999,nan,213.28934,91.013
Anektod,Sagopa Kajmer,2005,0.379397761,196.5971,96.676
All Of Me,Esquivel,1958,nan,134.68689,161.161
Arnold Layne (1996 Digital Remaster),Pink Floyd,1971,nan,176.92689,132.881
All My Friends,The Pale Pacific,2005,nan,255.03302,96.021
Ain't Got Nothin',SUPREME BEINGS OF LEISURE,2000,0.826520769,210.96444,159.577
Autumn Serenade,John Coltrane / Johnny Hartman,1963,nan,259.86567,113.926
Avec le sourire Feat Khaled,Bisso Na Bisso,2009,nan,226.0371,120.263
Again,Kelly Price,2003,0.456150903,218.87955,85.004
Alli,Omara Portuondo,2003,0.507397237,156.73424,115.926
Art & Life (Chi-Roc) (Feat. Memphis Bleek_ Young Chris & Freeway) (Explicit Album Version),Twista,2004,0.662433585,247.11791,181.873
Ascension (Album Version),Fear Factory (INT),2004,nan,424.88118,94.507
A Broken Skeleton Key,Peter Poehl,2006,0.480934213,187.19302,127.945
A Little Bit Of Ecstasy,Jocelyn Enriquez,1997,0.467414301,239.12444,131.512
A Nice Blunt,DJ Food,1993,0.654728159,332.32934,123.718
All We Heard Was a Dull Thud,Compulsion,1996,0.212045405,241.57995,93.873
Alabam,Cowboy Copas,1979,0.488437579,140.25098,106.896
A Good Day,Natural Born Deejays,2002,nan,377.88689,141.966
A Quiet Anthem,Aesthetic Perfection,2008,0.715988512,319.76444,123.984
Always A Relief,The Radio Dept.,2006,0.663880062,195.49995,85.318
Affair Of The Heart,Rick Springfield,1983,nan,226.76853,129.124
All Day,T.O.K.,2001,0.506905064,225.85424,99.024
A Man Exits,Hopesfall,2002,0.600386865,220.42077,191.867
Asleep,Secrets Of The Moon,2002,0.413626493,72.61995,101.417
Applied Science,311,1994,0.573019828,164.38812,98.137
Andrejs Nächte,Fatima Spar and the Freedom Fries,2006,nan,273.52771,213.519
All...,The Old Dead Tree,2003,0.505487343,114.57261,87.57
All Souls Consumed (none),Monstrosity,1999,0.5591998,151.30077,109.1
Abolish Authorities,Waldhaus,2008,0.386477291,112.84853,153.114
And Pray For Me,Peccatum,1999,0.554493654,283.0624,100.005
Above The Sky,Airwave,1998,nan,464.77016,135.054
Agony,Raz Ohara & The Odd Orchestra,2007,nan,341.31546,97.963
Anything New,Digitalism,2007,0.737703508,299.07546,130.015
Another Saturday Night,Cat Stevens,1974,0.655473366,148.16608,139.973
Anno Domini 1476,Marduk,1998,0.615157569,130.5073,88.889
Available [feat. Akon] (Album Version),Flo Rida,2009,nan,264.88118,120.026
All In,Baumer,2005,0.332429928,183.24853,159.998
A Girl Named GO,Cory Branan,2006,0.496175336,162.97751,191.584
Any Which Way Freedom,Mutabaruka,1996,0.452779686,215.69261,148.497
An Addict's Lover,Soilent Green,2001,0.444401715,126.53669,142.043
Alive In Arms (Lackluster Remix),Blamstrain,2005,0.266955186,383.97342,119.986
Amiga Home,Mouse On Mars,1997,nan,244.58404,97.166
As I Sleep,Cryonic Temple,2008,nan,232.38485,139.965
Another Thought (In the Light Of The Miracle),Arthur Russell,1994,nan,365.00853,114.704
Abomination Glorified,Impious,2009,0.518759898,149.10649,130.055
Angels Due To Arrive,Nine Days Wonder,1973,nan,268.53832,165.675
Angelina,Earl Klugh,1999,0.66768009,288.15628,145.795
Armchair Activist,Jimmy Shubert,2005,0.260338243,116.76689,63.361
Amburgo,Vinicio Capossela,1994,0.454192988,280.34567,61.178
And There Wuz Cows,Chaotic Dischord,1983,0.392008771,91.0624,97.385
All Is For God (Album Version),Juliette Lewis,2009,0.541551998,152.94649,84.658
An der Grenze Schweden/Norwegen,Hape Kerkeling,2007,0.37793076,549.01506,98.948
Arabic Tremolo Radio,The Violet Burning,1996,0.474882706,291.91791,156.703
Andante Definibus,Afenginn,2004,0.323112121,204.38159,110.966
A Room Lives In Lucy,And Also the Trees,1986,0.497833215,230.60853,122.991
Angel,Sarah McLachlan,1997,nan,330.97098,108.197
Action,Freddy Cannon,1992,nan,127.89506,155.158
Abrasion Tide,Borknagar,2010,0.660560037,431.85587,165.135
Auratune,Dave Weckl,1990,nan,287.11138,180.779
At My Front Door,El Dorados,1955,0.627560884,153.39057,87.859
Always Tomorrow,The Subways,2008,0.794332901,177.84118,165.932
Amazing Grace,Charlie Rich,1999,0,184.37179,93.672
Angelicus (Andy Moor Full Length Mix),Delerium,2007,0.392008771,496.63955,130.025
Amor Sin Esperanza,Paquito D'Rivera,1998,0,291.26485,192.985
All Summer Single,Billy Idol,1986,0.641534704,276.4273,143.284
Alabama-Song,Ute Lemper / RIAS Kammerchor / John Mauceri,1998,0.400039657,278.96118,160.289
A Garden,Okkervil River,2005,0.574279877,50.46812,159.362
A chi,Fausto Leali,1988,0.580145374,182.96118,101.719
A Line In the Sand,Houston Calls,2005,0.548312704,192.86159,97.574
Aging Raver's Personal Hell,New Orleans Klezmer Allstars,1998,0,265.84771,118.543
Aquel Pais,Alejandro Filio,1988,0.299877488,193.56689,167.574
Are You Convinced?,Sucioperro,2009,0.541457088,273.97179,149.887
Alvin's Harmonica,The Chipmunks With David Seville,1999,0.558244179,161.27955,118.98
A Christmas Love Song,The Manhattan Transfer,1992,0.721572661,246.36036,70.763
As de basto,Chango Spasiuk,1998,nan,103.99302,130.671
A Mother's Arms,The Lesser Birds of Paradise,2006,0.331290556,174.47138,85.634
Appleworm,Black Moth Super Rainbow,2009,0.49271364,144.8224,77.372
Answers To Nothing,Midge Ure,1988,0.594854168,274.72934,117.997
A Che Serve Lo Zolfo,Cesare Basile,2003,0.266955186,220.49914,171.102
Alice III (Das Ich-Remix),Stillste Stund,2008,0.327736683,250.06975,92.549
Asian Man (live),Skankin' Pickle,1995,nan,194.87302,204.305
A Spectral Suspension,Spinnerette,2009,0.6312785,174.31465,145.025
Arp Surface,I:Cube,2005,0.417641648,198.16444,133.01
Army Of Me (Featuring Skunk Anansie),Björk,1995,0.375984302,277.2371,172.076
Amerind,Ian Dury,2004,nan,263.83628,110.842
All Day Sucker / Easy Goin' Evening,Najee,1995,0.375984302,301.34812,122.106
ANNABEL,The Duhks,2002,0.460484845,263.26159,138.414
Azteca Imperial,Cast,2006,0,529.08363,88.521
Astral Weeks (Album Version),Secret Machines,2005,0.543796627,363.25832,91.192
ABC,Jackson 5,1970,nan,229.32853,103.987
All Day Long,Kenny Burrell / Donald Byrd,2006,nan,1098.4224,122.435
As You Fall,Bent,2004,0.647958228,214.09914,222.982
A Little Too Late,Toby Keith,2006,nan,248.11057,100.941
Age of Panic (Git-O-Rama Mix),Senser,1994,0.327736683,250.122,83.748
Arbol Solitario,Malú,2001,0,256.67873,121.313
Again,Brooks & Dunn,2005,0.425124658,195.47383,145.094
A.W.O.L.,Robert Wyatt,2007,0.644353909,178.36363,73.051
Aftaglid (Power Trio Backing Track) (2006 Digital Remaster),Steve Hillage,1975,0.212045405,781.63546,106.445
Abba Zabba,Captain Beefheart & The Magic Band,2006,nan,225.38404,192.54
Armageddon,Altern 8,1992,0.437036204,353.20118,101.504
Are am Eye?,Commander Tom,1995,nan,376.89424,139.981
A Hawk And A Hacksaw,A Hawk And A Hacksaw,2003,0.474054831,418.14159,99.881
Arthur,Jeans Team,2005,0.401486711,291.70893,121.053
Animal Love,Terror Punk Syndicate,2007,0.229144104,296.33261,200.021
Action,Pearly Gates,2006,nan,312.78975,130.01
Amazonia,Circus Night,2002,nan,21.18485,122.748
Abducted,Hawkwind,1995,nan,165.3024,98.293
Alcastar,Alcazar,2005,0.628296796,185.12934,124.757
A dormir (Live),De Saloon,2006,0,350.77179,82.757
Against The Grain,City And Colour,2008,0.865893671,228.04853,120.427
Are You Still In Love With Me?,Tift Merritt,2002,0.623076355,319.86893,67.745
Aamuvenytys,Puoskari,2004,nan,427.17995,141.975
Akpaison,Etubom Rex Williams & His Nigerian Artistes,2007,nan,147.22567,149.663
About Minutes To Midnight [Audio Commentary],Linkin Park,2007,nan,821.4722,81.84
Alone,The Unseen,1998,0.631648462,123.34975,165.125
Ashtray! Ashtray!,Die! Die! Die!,2005,nan,186.27873,96.971
Avant Qu'on Aille Au Fond Des Choses,Julien Clerc,2003,0.379523324,153.28608,117.533
All The Love In The World,Nine Inch Nails,2005,0.715827096,315.34975,119.997
Analogue Logic (Album Version),Action Action,2006,0.460541281,184.39791,127.78
Ai Ga Bani,Ali Farka Toure_ Toumani Diabate,2005,0.665235108,274.442,158.012
All The Way,Eddie Boyd,1966,0.265861049,216.89424,89.904
Adrenaline Rush,Obie Trice,2002,0.702120448,228.88444,88.394
A La Queue Les Yvelines,Jacques Dutronc,1993,0.392008771,160.33914,203.973
Acheter un Homme (Mix),Interlope,2007,nan,373.65506,93.348
Afrique,Tumi And The Volume,2006,0.511071151,146.38975,151.851
A Hole In The Wallet,Gang Of Four,1981,0.566707642,203.02322,99.652
A.P.B.,Teena Marie,2006,0.355285536,290.29832,120.775
Aneta,Meganoidi,2009,0.299877488,190.95465,118.016
Ataque de Risa,Aterciopelados,2008,0.541017512,201.56036,112.009
All My Life,Karla Bonoff,1988,0.609043943,230.76526,147.031
African Queen,Allez Allez,1998,0.493796569,434.38975,95.084
Amiga Sombra,Carlos Ponce,2003,0.358272612,239.85587,180.097
Artik,Monoceros,2006,nan,259.10812,93.605
Archery,The London Metropolitan Orchestra,2009,0.345802234,79.28118,82.144
Another Nail,Liberty N Justice,2005,nan,260.33587,127.932
AEX-1 (Album),The Accident Experiment,2005,0.323112121,377.80853,174.969
Adesso Tu,Eros Ramazzotti,1986,nan,274.07628,127.555
Alakor Version Androïd,Krystal System,2009,0.266955186,232.07138,136.99
Aimless Love,John Prine,1984,0.597241837,185.96526,139.303
Aftershocking,A Shoreline Dream,2007,0.304169503,357.01506,121.088
Angel,Joe Sample / Randy Crawford,2008,0.265861049,248.55465,236.648
Als Ik Dood Ben (Lied),Youp van 't Hek,2005,0.215080319,152.68526,109.647
All We Are,Kim Mitchell,1984,nan,284.57751,121.918
A Horse Called Golgotha,Baroness,2009,0.731188798,320.9922,139.127
All Come True,World Party,1986,0.638149548,351.29424,88.097
Ain't That a Grand and Glorious Feeling,Annette Hanshaw,1995,0.249065795,181.68118,187.307
Another Day In Paradise (Live),Phil Collins,1990,0.490904201,336.45669,103.922
ACCIDENT WAITING TO HAPPEN,Billy Bragg,1991,0.688536997,240.53506,162.025
Amazonia,Circus Night,2002,nan,491.4673,124.956
Alamanana,TasteXperience,2003,nan,362.31791,132.005
Always Together,The Dells,1992,nan,183.24853,73.275
A Veces Sabes,Los Visitantes,1995,nan,120.47628,154.065
All These Years,Adema,2007,0.716956258,185.33832,125.183
A Sailor Went To Sea/Hornpipe,The Wiggles,2008,0.352222935,128.70485,107.342
Arrow,Beast,2008,nan,219.42812,90.001
Another Revolution,A Love Ends Suicide,2006,nan,179.3824,130.457
Away From The Sun,3 Doors Down,2002,nan,255.9473,137.058
Ali,Studio 3,2006,nan,215.01342,133.005
Airwave (Radio Edit),Rank 1,2000,0.665544602,178.31138,136.054
As Torres Da Cinciberlândia,Xutos & Pontapés,1988,nan,264.98567,140.284
A Life To Come,Mateo & Matos,2004,0.204686411,381.64853,128.101
Anon,Alias & Tarsier,2006,0.583404558,307.87873,92.639
Acid Sentence,Municipal Waste,2009,0.601951755,181.7073,104.783
Agent Blue,Guy J.,2007,nan,259.49995,123.027
Acting This Way,The Robert Cray Band,1988,0.596858242,267.65016,125.113
Another One From The Colonies,Penguin Café Orchestra,1984,0.64211188,186.74893,110.848
Abdullah And Abraham,Chico Hamilton,2004,0.392008771,254.95465,196.548
Ain't He Bad,First Choice,2002,nan,349.49179,127.662
at the bar,fat jon,2001,0.513213954,235.44118,108.73
A Bad Trip,The Mount Fuji Doomjazz Corporation,2009,0.589452954,349.88363,118.474
Awakening,Nocturnal Rites,2003,0.600560394,328.202,162.874
And She Was (Extended Mix),Talking Heads,1999,0.518340538,295.49669,126.51
Alla El Rancho Grande,Rex Allen,1959,nan,129.85424,124.456
All Of You,Keith Jarrett_ Gary Peacock_ Jack DeJohnette,1989,nan,496.48281,182.99
All I Do (Album Version),Kirk Whalum,1998,0.266961344,302.73261,109.75
Anywhere,Avantasia,2002,nan,328.28036,125.642
Angela,Julien Clerc,2002,0.249065795,173.73995,63.964
Amber,Clearlake,2006,0.392008771,229.79873,133.056
All We Are,Eternal Flight,2004,0.299877488,352.83546,122.102
All I Need Is You (Album Version),The Click Five,2007,0.70545455,201.03791,125.005
A Ride With Satan's Little Helpers (2001 Digital Remaster),Lords Of Acid,2001,nan,94.35383,131.981
Another Song About The Rain,Cracker,1992,0.567591725,349.09995,130.792
Allons Rock N Roll,Lil' Band O' Gold,2000,0.222893943,244.00934,143.74
Aelis:Custos Desertorum,Shira Kammen,2006,nan,405.68118,101.042
American Pie,Just Luis,1995,nan,251.32363,86.664
Alipang,Don Drummond,1998,0.377531645,178.05016,132.993
Another For The Darkness,Gemma Hayes,2005,0.460541281,227.97016,164.581
Arm's Advice,The Fresh & Onlys,2009,0.544111109,225.59302,111.639
All The Love,The Outfield,1985,0.644441658,212.24444,128.166
Aliens,Radiorama,1997,nan,322.55955,206.663
Atlantis,Pallas,1992,0.485988251,486.19057,134.633
A Candle In The Window,Alabama,1985,nan,228.91057,103.299
Angel Angel Down We Go Together,Morrissey,1988,0.633775485,99.65669,172.983
All She Wants To Do Is Rock,Wynonie Harris,1993,nan,152.34567,149.192
A Different Life,Anne Dudley,2001,0.478670736,236.2771,107.053
Au Secours,LOFOFORA,1999,0.394394856,242.25914,150.515
A Fuego Lento,San Telmo Lounge,2007,0.379523324,282.01751,125.015
Atlantia,Secret Garden,1995,0.752181594,180.21832,163.403
Alice Springs,Coloured Stone,1986,0,231.41832,125.066
Alfred The Great,Cherry Ghost,2007,0.677858229,213.34159,153.045
A Message to the Flat Earth Society,Kaddisfly,2005,0.624061571,219.32363,178.043
Ain't A Love,Jamelia,2006,0.535215806,224.57424,108.008
"All Right ""Build A House",Melanie Garside,1996,nan,246.25587,160.883
Artifacts Of Sound,So Many Dynamos,2009,0.559923881,240.27383,152.269
All Over This World,Sister Rosetta Tharpe,2002,nan,158.74567,198.25
A Design For Life,Manic Street Preachers,1996,nan,290.2722,131.815
A Girl Can Dream,P.Y.T.,2001,0.310791536,249.23383,120.145
Abandoned,Dogwood,2001,0.355285536,115.46077,197
Atlanta,Lewis Black,2003,0.679331316,1272.63302,71.805
A Coward No Longer,James Horner;Rahat Nusrat Fateh Ali Khan,2002,nan,829.20444,148.113
All I Want Is A Spoonful,Papa Charlie Jackson,1925,nan,169.35138,137.541
A Thugga' Level,Krayzie Bone featuring Boss,2001,nan,259.00363,148.927
Across The Snows,Kiuas,2003,0.628287797,359.18322,96.114
American Metal,Lizzy Borden,1985,nan,351.89506,148.302
Automaton,Gramercy Arms,2008,0.409603241,167.91465,129.88
All Night (Album Version),Keith Washington,1991,0.237490861,260.85832,104.116
Are You All Ready,Tony De Vit,1996,nan,294.55628,150.946
Activate (Album Version),Stellar Kart,2006,0.574476753,195.47383,90.001
Augustine,Nevertheless,2008,0.632799798,267.98975,129.69
A Stone Would Cry Out,Sam Roberts,2006,0.67486174,280.81587,129.865
Antman,The Red Chord,2005,0.710324441,187.14077,149.676
Another Step Away,A Place to Bury Strangers,2007,0.642753321,244.50567,160.034
Angelo,Francesco Renga,2005,nan,210.33751,82.717
ALTER EGO,NIEMEN_ CZESLAW,1989,0.328676444,220.39465,85.465
Amphibia Part 5,Patrick Rondat,1996,nan,138.65751,85.016
A Moment,Bitter Sweet,2008,nan,258.84689,106.146
Autumn Leaves,Roger Williams,1955,nan,174.99383,64.981
Amanece,Nach,2008,0.526706659,143.69914,86.962
Angels With Dirty Faces,Los Lobos,1992,0.450762242,242.46812,153.137
Arctic Bloodred Moonlight Sadness,The Forced Oscillations,2009,0.39688923,199.78404,70.194
Anne (Album Version),John Frusciante,2004,0.819594631,215.90159,46.783
Adelante,Sash!,2000,nan,225.74975,136.12
